"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2015","189.31","177.45","195.01","175.55","41.95M","7.01%"
"06/01/2015","176.91","186.85","189.57","174.19","50.82M","-5.05%"
"05/01/2015","186.31","188.06","196.83","176.36","57.20M","-1.13%"
"04/01/2015","188.44","193.27","201.27","187.69","37.58M","-2.71%"
"03/01/2015","193.69","195.83","198.85","188.03","52.29M","-0.82%"
"02/01/2015","195.30","186.70","196.01","185.99","45.88M","4.86%"
"01/01/2015","186.24","164.11","188.76","161.20","48.18M","13.94%"
"12/01/2014","163.46","162.74","165.11","151.81","41.97M","0.28%"
"11/01/2014","163.01","157.44","163.50","155.06","37.79M","3.64%"
"10/01/2014","157.29","152.42","157.29","139.11","51.16M","3.17%"
"09/01/2014","152.45","156.30","157.60","149.82","39.17M","-2.28%"
"08/01/2014","156.00","151.68","157.01","146.33","35.20M","2.82%"
"07/01/2014","151.72","153.22","155.58","150.16","35.70M","-0.95%"
"06/01/2014","153.17","152.28","156.68","150.19","41.73M","0.84%"
"05/01/2014","151.89","146.05","151.98","145.05","37.85M","3.93%"
"04/01/2014","146.15","142.69","147.53","141.11","33.29M","2.53%"
"03/01/2014","142.54","146.03","148.20","139.37","39.56M","-3.05%"
"02/01/2014","147.03","137.76","147.69","134.97","35.85M","6.69%"
"01/01/2014","137.81","136.50","142.15","133.93","41.21M","1.20%"
"12/01/2013","136.17","137.61","137.62","129.71","26.82M","-0.88%"
"11/01/2013","137.38","137.49","138.99","135.71","32.69M","-0.01%"
"10/01/2013","137.40","131.95","139.16","129.09","35.41M","3.84%"
"09/01/2013","132.32","126.82","133.92","124.23","35.88M","5.22%"
"08/01/2013","125.75","131.85","134.67","125.19","35.70M","-4.19%"
"07/01/2013","131.25","126.90","135.13","124.99","39.11M","4.04%"
"06/01/2013","126.15","134.03","135.05","120.76","42.89M","-6.10%"
"05/01/2013","134.34","134.23","144.21","133.31","41.60M","0.04%"
"04/01/2013","134.29","128.74","135.90","126.60","36.77M","4.46%"
"03/01/2013","128.56","127.77","130.72","126.97","42.52M","0.62%"
"02/01/2013","127.77","125.30","128.43","123.72","32.85M","1.91%"
"01/01/2013","125.37","130.37","131.94","125.29","31.57M","-3.05%"
"12/01/2012","129.31","127.99","131.09","127.06","28.73M","1.03%"
"11/01/2012","127.99","126.03","128.57","120.94","31.29M","1.47%"
"10/01/2012","126.14","120.44","126.53","120.33","35.71M","4.84%"
"09/01/2012","120.32","121.31","123.97","120.06","34.13M","-0.88%"
"08/01/2012","121.39","122.36","125.58","120.87","29.37M","-0.80%"
"07/01/2012","122.37","114.72","123.90","114.66","32.52M","6.76%"
"06/01/2012","114.62","109.93","114.79","107.79","37.62M","4.35%"
"05/01/2012","109.84","112.02","114.11","108.26","3.87M","-2.03%"
"04/01/2012","112.12","114.08","114.77","109.51","3.71M","-1.59%"
"03/01/2012","113.93","109.10","118.64","107.80","4.49M","4.26%"
"02/01/2012","109.28","109.35","111.91","107.54","3.72M","0.26%"
"01/01/2012","109.00","103.36","110.77","100.13","3.89M","5.31%"
"12/01/2011","103.50","104.54","105.16","96.08","2.90M","-0.93%"
"11/01/2011","104.47","107.99","108.20","92.98","3.62M","-4.09%"
"10/01/2011","108.92","100.89","110.52","97.46","3.63M","6.81%"
"09/01/2011","101.98","112.43","113.26","96.72","4.76M","-8.99%"
"08/01/2011","112.05","123.55","124.24","98.96","5.82M","-8.67%"
"07/01/2011","122.69","124.85","127.98","121.23","4.39M","-1.75%"
"06/01/2011","124.88","127.31","127.47","120.86","3.40M","-2.08%"
"05/01/2011","127.53","125.50","127.58","121.87","3.53M","2.02%"
"04/01/2011","125.00","122.10","125.05","119.30","3.00M","2.93%"
"03/01/2011","121.44","123.20","123.87","114.35","4.75M","-1.24%"
"02/01/2011","122.97","115.97","123.01","115.84","3.77M","6.38%"
"01/01/2011","115.59","118.12","119.83","114.86","3.21M","-1.80%"
"12/01/2010","117.71","109.56","118.71","109.12","3.28M","7.76%"
"11/01/2010","109.23","116.88","118.50","108.95","3.99M","-6.40%"
"10/01/2010","116.70","112.61","118.19","112.31","3.50M","3.98%"
"09/01/2010","112.23","106.59","114.29","106.10","4.46M","5.63%"
"08/01/2010","106.25","108.23","108.68","103.32","3.81M","-0.02%"
"07/01/2010","106.27","97.23","107.58","94.32","3.95M","8.63%"
"06/01/2010","97.83","97.28","103.05","94.45","4.45M","0.61%"
"05/01/2010","97.24","103.44","104.66","90.67","5.67M","-6.23%"
"04/01/2010","103.70","107.53","109.39","101.35","3.48M","-3.12%"
"03/01/2010","107.04","101.26","107.69","100.86","4.03M","6.35%"
"02/01/2010","100.65","102.20","104.89","98.33","4.01M","-1.82%"
