"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2017","170.44","169.25","170.71","169.25","2.36M","0.84%"
"07/31/2017","169.02","169.50","170.03","169.02","3.40M","-0.27%"
"07/28/2017","169.48","171.67","171.67","168.83","2.67M","-1.49%"
"07/27/2017","172.04","170.56","172.37","170.56","3.39M","0.75%"
"07/26/2017","170.76","170.25","171.11","169.94","2.12M","0.25%"
"07/25/2017","170.33","170.53","171.43","170.11","2.62M","0.05%"
"07/24/2017","170.25","170.84","171.77","169.94","2.47M","-0.37%"
"07/21/2017","170.89","171.92","171.94","170.42","2.19M","-0.61%"
"07/20/2017","171.94","172.40","173.29","171.72","2.15M","-0.30%"
"07/19/2017","172.46","172.25","172.58","171.25","1.93M","0.35%"
"07/18/2017","171.86","171.41","172.62","171.23","2.71M","0.21%"
"07/17/2017","171.50","172.51","172.97","171.22","1.53M","-0.57%"
"07/14/2017","172.48","171.20","172.52","170.75","2.07M","0.87%"
"07/13/2017","171.00","170.50","171.31","169.80","2.32M","0.38%"
"07/12/2017","170.36","167.82","170.96","167.82","2.72M","1.53%"
"07/11/2017","167.80","169.96","170.31","167.67","2.32M","-1.22%"
"07/10/2017","169.88","169.04","170.53","169.04","1.96M","0.66%"
"07/07/2017","168.76","168.71","168.76","167.54","2.20M","0.03%"
"07/06/2017","168.71","170.43","171.20","168.02","2.63M","-1.07%"
"07/05/2017","170.54","170.39","170.54","169.27","2.46M","0.06%"
"07/04/2017","170.43","170.87","170.87","169.93","1.67M","-0.27%"
"07/03/2017","170.89","171.95","172.39","170.75","2.55M","-0.50%"
"06/30/2017","171.75","171.40","171.96","170.60","3.58M","0.20%"
"06/29/2017","171.40","172.61","173.22","170.65","3.16M","-0.72%"
"06/28/2017","172.65","173.85","174.33","172.35","2.89M","-0.99%"
"06/27/2017","174.37","176.51","176.59","174.25","2.46M","-1.23%"
"06/26/2017","176.55","177.03","177.75","176.55","2.45M","-0.14%"
"06/23/2017","176.79","175.78","177.31","175.60","1.99M","0.66%"
"06/22/2017","175.63","175.95","175.95","174.84","2.51M","-0.19%"
"06/21/2017","175.96","176.79","177.00","175.67","3.52M","-0.55%"
"06/20/2017","176.93","178.72","178.89","176.93","4.34M","-1.05%"
"06/19/2017","178.80","179.20","179.75","178.21","2.06M","-0.17%"
"06/16/2017","179.11","178.29","179.42","178.02","9.99M","0.49%"
"06/15/2017","178.24","179.33","179.63","177.59","3.44M","-0.67%"
"06/14/2017","179.45","178.49","180.16","178.17","3.29M","0.75%"
"06/13/2017","178.12","176.91","178.84","176.91","2.98M","0.80%"
"06/12/2017","176.70","178.14","178.14","176.19","2.19M","-0.94%"
"06/09/2017","178.38","177.22","178.38","176.02","3.67M","0.03%"
"06/08/2017","178.32","179.21","179.64","178.21","2.85M","-0.37%"
"06/07/2017","178.98","177.85","179.70","177.51","3.12M","0.69%"
"06/06/2017","177.76","178.34","178.82","177.56","2.66M","-0.34%"
"06/05/2017","178.37","179.33","179.58","178.12","2.41M","-0.50%"
"06/02/2017","179.26","179.13","179.77","178.57","3.42M","0.38%"
"06/01/2017","178.59","177.09","179.45","177.02","3.35M","0.77%"
"05/31/2017","177.23","177.53","178.22","177.04","4.36M","-0.24%"
"05/30/2017","177.65","177.09","178.15","176.76","2.74M","0.32%"
"05/29/2017","177.09","177.34","177.34","176.96","2.39M","-0.05%"
"05/26/2017","177.18","176.57","177.60","176.55","2.63M","0.21%"
"05/25/2017","176.81","177.16","178.01","176.68","1.82M","-0.08%"
"05/24/2017","176.96","176.41","177.26","176.32","2.98M","0.47%"
"05/23/2017","176.13","177.18","177.18","175.47","3.21M","-0.68%"
"05/22/2017","177.34","175.59","177.76","175.59","2.88M","1.00%"
"05/19/2017","175.59","176.30","177.55","175.50","3.44M","-0.39%"
"05/18/2017","176.27","178.07","178.07","175.77","3.73M","-1.22%"
"05/17/2017","178.44","179.69","179.69","178.13","3.89M","-1.28%"
"05/16/2017","180.75","180.93","180.93","180.11","2.64M","-0.18%"
"05/15/2017","181.07","181.60","182.18","180.77","2.37M","-0.21%"
"05/12/2017","181.46","180.90","181.46","180.78","2.80M","0.24%"
"05/11/2017","181.02","179.88","181.27","179.72","3.27M","0.51%"
"05/10/2017","180.10","180.38","180.41","179.75","2.39M","-0.26%"
"05/09/2017","180.57","179.42","180.83","179.34","2.61M","0.71%"
"05/08/2017","179.30","177.43","180.07","177.43","3.02M","1.17%"
"05/05/2017","177.22","176.13","177.24","175.83","2.83M","0.57%"
"05/04/2017","176.22","176.59","176.98","175.49","2.61M","-0.28%"
"05/03/2017","176.72","176.56","176.98","175.80","2.59M","0.02%"
"05/02/2017","176.68","174.59","176.68","174.29","2.82M","1.27%"
"05/01/2017","174.47","174.47","174.47","174.47","3.24M","-0.10%"
"04/28/2017","174.65","176.37","176.37","174.13","3.20M","-1.15%"
"04/27/2017","176.69","176.09","176.94","174.91","2.39M","0.23%"
"04/26/2017","176.29","175.81","176.43","174.88","2.92M","0.15%"
"04/25/2017","176.03","174.15","176.88","173.57","2.68M","1.11%"
"04/24/2017","174.10","172.31","175.00","172.31","2.96M","0.71%"
"04/21/2017","172.88","174.23","174.23","172.52","2.91M","-0.74%"
"04/20/2017","174.17","175.68","175.68","174.11","2.89M","-0.86%"
"04/19/2017","175.68","176.61","176.61","175.56","3.49M","-0.45%"
"04/18/2017","176.47","176.18","176.70","174.10","3.14M","0.28%"
"04/13/2017","175.97","175.69","176.04","175.19","2.07M","0.03%"
"04/12/2017","175.91","175.02","176.07","174.89","2.65M","0.55%"
"04/11/2017","174.94","173.50","174.94","173.19","3.33M","0.70%"
"04/10/2017","173.72","173.85","174.04","173.11","2.60M","0.02%"
"04/07/2017","173.69","172.48","173.69","171.73","3.39M","0.63%"
"04/06/2017","172.60","170.52","172.60","170.39","3.74M","1.15%"
"04/05/2017","170.63","169.54","170.75","169.37","2.91M","0.71%"
"04/04/2017","169.43","168.44","169.74","168.44","2.77M","0.53%"
"04/03/2017","168.53","169.69","169.75","168.05","2.90M","-0.50%"
"03/31/2017","169.37","166.22","169.37","166.15","4.41M","1.96%"
"03/30/2017","166.12","166.86","166.86","165.53","2.93M","-0.55%"
"03/29/2017","167.04","165.51","167.07","165.17","3.23M","0.82%"
"03/28/2017","165.68","166.69","167.15","165.50","3.20M","-0.52%"
"03/27/2017","166.55","167.65","167.65","165.80","2.31M","-0.76%"
"03/24/2017","167.83","167.70","167.83","166.93","2.45M","-0.10%"
"03/23/2017","168.00","166.97","168.00","166.54","3.20M","0.64%"
"03/22/2017","166.93","168.23","168.26","166.67","3.29M","-0.87%"
"03/21/2017","168.40","168.54","168.63","167.79","3.17M","-0.20%"
"03/20/2017","168.73","168.73","169.32","168.25","3.50M","-0.01%"
"03/17/2017","168.74","167.66","168.86","167.14","8.05M","0.51%"
"03/16/2017","167.89","165.22","167.94","165.22","4.48M","1.73%"
"03/15/2017","165.03","165.39","165.67","164.49","3.67M","0.05%"
"03/14/2017","164.94","165.22","165.22","164.34","2.88M","-0.28%"
"03/13/2017","165.41","164.60","165.45","164.46","2.92M","0.52%"
"03/10/2017","164.55","167.17","167.26","164.42","3.49M","-1.58%"
"03/09/2017","167.20","166.55","167.82","165.89","2.98M","0.41%"
"03/08/2017","166.51","166.93","166.93","165.62","2.77M","-0.29%"
"03/07/2017","166.99","168.69","168.76","166.85","3.27M","-1.04%"
"03/06/2017","168.75","168.80","168.80","167.87","2.12M","-0.21%"
"03/03/2017","169.11","169.23","169.23","168.12","2.71M","-0.24%"
"03/02/2017","169.52","170.21","170.21","168.84","2.94M","-0.49%"
"03/01/2017","170.35","170.24","170.85","169.51","3.90M","0.29%"
"02/28/2017","169.86","169.59","170.21","168.96","4.06M","0.22%"
"02/27/2017","169.49","170.77","171.00","169.01","2.55M","-0.90%"
"02/24/2017","171.03","171.85","172.21","170.51","2.60M","-0.37%"
